GFP_start,GFP_end,RFP_start,RFP_end
4,15,6,15
9,20,10,19
21,32,21,30
32,41,33,39
43,53,43,52
53,62,54,61
82,90,82,89
92,104,94,102
109,120,110,119
117,126,117,126
126,133,126,132
5,12,6,11
14,22,14,22
26,36,27,34
39,47,40,45
39,50,40,49
59,70,60,68
80,89,81,87
83,91,83,90
97,104,97,103
115,125,115,124
118,127,119,126
125,138,126,135
132,142,132,143
144,156,146,155
175,186,177,186
182,193,184,192
196,209,197,208
198,210,199,208
207,217,209,218
211,218,211,216
222,233,222,232
230,239,230,237
243,252,244,251
244,251,244,253
247,256,247,255
251,262,251,263
265,275,266,272
273,284,275,283
290,300,291,299
