RFP_start,RFP_end
6,13
21,25
32,33
43,50
38,44
45,49
49,55
58,67
73,79
100,112
129,138
154,160
184,190
203,209
211,222
231,237
238,247
243,252
258,266
288,296
298,302
313,318
341,347
361,369
14,21
29,35
43,49
39,46
54,60
63,71
68,75
84,92
96,104
100,106
109,116
126,132
127,132
140,146
162,168
169,176
206,211
218,226
225,228
260,267
283,293
299,303
317,324
344,347
361,368
23,29
30,37
37,45
47,53
51,56
82,89
91,98
109,117
147,154
158,166
181,190
201,206
216,223
232,238
241,246
244,251
253,257
257,262
268,273
324,330
331,339
346,356
378,382
