Fim1-RFP_start,Fim1-RFP_end
8,12
28,32
34,41
47,52
49,54
55,61
77,87
90,96
101,106
116,122
147,152
173,176
178,186
188,195
207,211
238,243
246,251
261,265
271,275
279,286
301,307
317,322
335,342
344,349
375,378
376,381
2,6
3,8
8,13
12,17
19,21
19,22
21,27
26,31
28,32
32,36
36,39
36,40
43,48
50,53
64,68
65,69
75,81
81,85
82,86
86,89
91,96
92,96
98,102
99,103
102,105
113,117
123,127
137,140
144,147
165,168
169,174
184,187
192,196
195,198
203,207
211,214
217,220
218,224
228,232
233,236
257,261
270,275
280,284
286,292
294,297
332,336
342,346
361,366
372,378
