 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_53,523,240.904190063,219.485366821,8.529454549,1,1,YES,2,0,1948.940063477,7769.301269531,49.892864365,31.823057920
2,cell_98,658,146.776367188,378.609100342,6.795252482,1,1,YES,2,0,2438.730468750,10425.185546875,62.431498423,42.701559892
3,cell_99,686,166.941909790,408.556976318,6.964534760,1,1,YES,2,0,2549.232910156,11131.865234375,65.260360851,45.596119885
4,cell_100,613,105.441375732,281.958343506,6.612927119,1,1,YES,2,0,2289.178222656,9508.480468750,58.602961020,38.946735902
5,cell_101,559,429.087860107,152.814071655,7.067136129,1,1,YES,2,0,2063.971679688,8218.651367188,52.837673665,33.663595915
6,cell_102,664,176.572036743,113.479278564,6.621742884,1,1,YES,2,0,2479.900634766,10760.096679688,63.485454646,44.073355889
7,cell_103,535,364.777648926,17.711576462,6.056155205,1,1,YES,2,0,2009.017578125,7960.682617188,51.430848701,32.606955918
8,cell_104,500,367.731689453,57.158458710,6.500645955,1,1,YES,2,0,1861.253295898,6993.218750000,47.648083171,28.644223928
9,cell_105,715,183.392044067,26.017951965,8.136115392,1,1,YES,2,0,2650.337158203,10822.286132812,67.848629536,44.328083888
10,cell_106,858,55.059677124,491.027862549,7.672800064,1,1,YES,2,0,3181.613037109,15723.323242188,81.449291692,64.402731837
11,cell_107,653,259.817626953,344.260772705,7.095820109,1,1,YES,2,0,2432.439453125,10324.982421875,62.270448427,42.291127893
12,cell_108,552,431.988708496,470.424072266,6.744151433,1,1,YES,2,0,2056.324218750,8015.507324219,52.641898670,32.831517917
13,cell_109,787,134.778686523,395.703033447,7.426344554,1,1,YES,2,0,2942.907714844,13960.258789062,75.338435597,57.181219856
14,cell_110,655,165.392410278,408.941711426,7.495711009,1,1,YES,2,0,2451.077880859,10544.885742188,62.747592165,43.191851891
15,cell_111,576,53.419376373,255.541290283,6.686745326,1,1,YES,2,0,2148.729003906,8715.443359375,55.007461110,35.698455910
16,cell_112,644,158.254226685,93.593162537,7.298831940,1,1,YES,2,0,2383.078369141,9862.078125000,61.006804709,40.395071898
17,cell_113,859,176.522994995,26.310781479,7.462187449,1,1,YES,2,0,3180.838867188,13705.598632812,81.429472943,56.138131858
18,cell_114,632,460.292816162,130.379791260,7.621091207,1,1,YES,2,0,2353.336669922,9579.747070312,60.245417228,39.238643901
19,cell_115,690,479.794250488,239.698822021,7.076284409,1,1,YES,2,0,2565.024169922,11063.337890625,65.664617091,45.315431886
20,cell_116,339,130.422775269,63.012817383,5.765997569,1,1,YES,2,0,1259.961669922,4030.347900391,32.255017935,16.508304958
